Voltage (V),Current (A)
+1.000000E-01,+6.782260E-04
+1.075000E-01,+7.290810E-04
+1.150000E-01,+7.799720E-04
+1.225000E-01,+8.308300E-04
+1.300000E-01,+8.816820E-04
+1.375000E-01,+9.325330E-04
+1.450000E-01,+9.834280E-04
+1.524990E-01,+1.034309E-03
+1.600000E-01,+1.084970E-03
+1.675000E-01,+1.135860E-03
+1.750000E-01,+1.186680E-03
+1.825000E-01,+1.237570E-03
+1.900000E-01,+1.288440E-03
+1.975000E-01,+1.339300E-03
+2.050000E-01,+1.390160E-03
+2.125000E-01,+1.441030E-03
+2.200000E-01,+1.491900E-03
+2.275000E-01,+1.542780E-03
+2.350000E-01,+1.593630E-03
+2.425000E-01,+1.644520E-03
+2.500000E-01,+1.695400E-03
+2.575000E-01,+1.746270E-03
+2.650000E-01,+1.797130E-03
+2.725000E-01,+1.848020E-03
+2.800000E-01,+1.898890E-03
+2.875000E-01,+1.949760E-03
+2.950000E-01,+2.000630E-03
+3.025000E-01,+2.051500E-03
+3.100000E-01,+2.102380E-03
+3.175000E-01,+2.153240E-03
+3.250000E-01,+2.204110E-03
+3.325000E-01,+2.254990E-03
+3.400000E-01,+2.305840E-03
+3.475000E-01,+2.356720E-03
+3.550000E-01,+2.407600E-03
+3.625000E-01,+2.458470E-03
+3.700000E-01,+2.509320E-03
+3.775000E-01,+2.560170E-03
+3.850000E-01,+2.611060E-03
+3.925000E-01,+2.661920E-03
+4.000000E-01,+2.712800E-03
+4.075000E-01,+2.763640E-03
+4.150000E-01,+2.814520E-03
+4.225000E-01,+2.865390E-03
+4.300000E-01,+2.916260E-03
+4.375000E-01,+2.967120E-03
+4.450000E-01,+3.017990E-03
+4.525000E-01,+3.068860E-03
+4.600000E-01,+3.119740E-03
+4.675000E-01,+3.170610E-03
+4.750000E-01,+3.221510E-03
+4.825000E-01,+3.272360E-03
+4.900000E-01,+3.323240E-03
+4.975000E-01,+3.374130E-03
+5.050000E-01,+3.425010E-03
+5.125000E-01,+3.475870E-03
+5.200000E-01,+3.526750E-03
+5.275000E-01,+3.577610E-03
+5.350000E-01,+3.628480E-03
+5.425000E-01,+3.679360E-03
+5.500000E-01,+3.730210E-03
+5.574990E-01,+3.781090E-03
+5.650000E-01,+3.831970E-03
+5.725000E-01,+3.882840E-03
+5.799990E-01,+3.933720E-03
+5.875000E-01,+3.984620E-03
+5.950000E-01,+4.035470E-03
+6.025000E-01,+4.086330E-03
+6.100000E-01,+4.137210E-03
+6.175000E-01,+4.188080E-03
+6.250000E-01,+4.238950E-03
+6.325000E-01,+4.289810E-03
+6.400000E-01,+4.340650E-03
+6.475000E-01,+4.391550E-03
+6.550000E-01,+4.442410E-03
+6.625000E-01,+4.493280E-03
+6.700000E-01,+4.544150E-03
+6.775000E-01,+4.595030E-03
+6.850000E-01,+4.645880E-03
+6.925000E-01,+4.696750E-03
+7.000000E-01,+4.747610E-03
+7.075000E-01,+4.798460E-03
+7.150000E-01,+4.849330E-03
+7.225000E-01,+4.900190E-03
+7.300000E-01,+4.951050E-03
+7.375000E-01,+5.001920E-03
+7.450000E-01,+5.052780E-03
+7.525000E-01,+5.103630E-03
+7.600000E-01,+5.154510E-03
+7.675000E-01,+5.205370E-03
+7.750000E-01,+5.256240E-03
+7.825000E-01,+5.307120E-03
+7.900000E-01,+5.357980E-03
+7.975000E-01,+5.408860E-03
+8.050000E-01,+5.459700E-03
+8.125000E-01,+5.510550E-03
+8.200000E-01,+5.561450E-03
+8.275000E-01,+5.612320E-03
+8.350000E-01,+5.663190E-03
+8.424990E-01,+5.714030E-03
+8.500000E-01,+5.764910E-03
+8.575000E-01,+5.815790E-03
+8.650000E-01,+5.866670E-03
+8.725000E-01,+5.917530E-03
+8.800000E-01,+5.968390E-03
+8.875000E-01,+6.019230E-03
+8.950000E-01,+6.070130E-03
+9.024990E-01,+6.121020E-03
+9.100000E-01,+6.171890E-03
+9.175000E-01,+6.222750E-03
+9.250000E-01,+6.273610E-03
+9.325000E-01,+6.324510E-03
+9.400000E-01,+6.375410E-03
+9.475000E-01,+6.426250E-03
+9.550000E-01,+6.477120E-03
+9.625000E-01,+6.527980E-03
+9.700000E-01,+6.578860E-03
+9.775000E-01,+6.629720E-03
+9.850000E-01,+6.680600E-03
+9.925000E-01,+6.731480E-03
+1.000000E+00,+6.782330E-03
