Voltage (V),Current (A)
+1.000000E-02,+1.011560E-06
+3.579000E-02,+3.624390E-06
+6.158000E-02,+6.237090E-06
+8.737000E-02,+8.850150E-06
+1.131600E-01,+1.146100E-05
+1.389500E-01,+1.407340E-05
+1.647400E-01,+1.668660E-05
+1.905300E-01,+1.929950E-05
+2.163200E-01,+2.191220E-05
+2.421100E-01,+2.452550E-05
+2.678890E-01,+2.713780E-05
+2.936800E-01,+2.975050E-05
+3.194700E-01,+3.236400E-05
+3.452600E-01,+3.497700E-05
+3.710500E-01,+3.759030E-05
+3.968400E-01,+4.020290E-05
+4.226290E-01,+4.281570E-05
+4.484200E-01,+4.542860E-05
+4.742100E-01,+4.804160E-05
+5.000000E-01,+5.065450E-05
