Voltage (V),Current (A)
+1.000000E-02,+1.013080E-06
+1.408000E-02,+1.426320E-06
+1.817000E-02,+1.840630E-06
+2.225000E-02,+2.254580E-06
+2.633000E-02,+2.668380E-06
+3.041900E-02,+3.083220E-06
+3.450000E-02,+3.496910E-06
+3.858000E-02,+3.910770E-06
+4.267000E-02,+4.325600E-06
+4.675000E-02,+4.739270E-06
+5.083000E-02,+5.152860E-06
+5.492000E-02,+5.567520E-06
+5.900000E-02,+5.981300E-06
+6.308000E-02,+6.394940E-06
+6.717000E-02,+6.809550E-06
+7.125000E-02,+7.223390E-06
+7.533000E-02,+7.637090E-06
+7.942000E-02,+8.051890E-06
+8.349900E-02,+8.465380E-06
+8.758000E-02,+8.879090E-06
+9.167000E-02,+9.293710E-06
+9.575000E-02,+9.707340E-06
+9.982900E-02,+1.012148E-05
+1.039190E-01,+1.053440E-05
+1.080000E-01,+1.094810E-05
+1.120800E-01,+1.136150E-05
+1.161700E-01,+1.177630E-05
+1.202500E-01,+1.218950E-05
+1.243300E-01,+1.260350E-05
+1.284200E-01,+1.301840E-05
+1.325000E-01,+1.343200E-05
+1.365800E-01,+1.384550E-05
+1.406700E-01,+1.426020E-05
+1.447500E-01,+1.467390E-05
+1.488300E-01,+1.508760E-05
+1.529200E-01,+1.550230E-05
+1.569990E-01,+1.591600E-05
+1.610800E-01,+1.632990E-05
+1.651700E-01,+1.674460E-05
+1.692500E-01,+1.715820E-05
+1.733300E-01,+1.757180E-05
+1.774200E-01,+1.798650E-05
+1.815000E-01,+1.840010E-05
+1.855800E-01,+1.881380E-05
+1.896700E-01,+1.922850E-05
+1.937500E-01,+1.964210E-05
+1.978300E-01,+2.005570E-05
+2.019200E-01,+2.047040E-05
+2.059990E-01,+2.088420E-05
+2.100800E-01,+2.129770E-05
+2.141700E-01,+2.171240E-05
+2.182500E-01,+2.212600E-05
+2.223290E-01,+2.253980E-05
+2.264200E-01,+2.295440E-05
+2.305000E-01,+2.336790E-05
+2.345800E-01,+2.378140E-05
+2.386700E-01,+2.419650E-05
+2.427500E-01,+2.461020E-05
+2.468300E-01,+2.502360E-05
+2.509200E-01,+2.543830E-05
+2.550000E-01,+2.585200E-05
+2.590800E-01,+2.626570E-05
+2.631700E-01,+2.668030E-05
+2.672500E-01,+2.709440E-05
+2.713300E-01,+2.750810E-05
+2.754200E-01,+2.792260E-05
+2.795000E-01,+2.833620E-05
+2.835800E-01,+2.874980E-05
+2.876700E-01,+2.916470E-05
+2.917490E-01,+2.957830E-05
+2.958300E-01,+2.999180E-05
+2.999200E-01,+3.040640E-05
+3.040000E-01,+3.082020E-05
+3.080800E-01,+3.123400E-05
+3.121700E-01,+3.164880E-05
+3.162500E-01,+3.206230E-05
+3.203300E-01,+3.247570E-05
+3.244200E-01,+3.289030E-05
+3.285000E-01,+3.330370E-05
+3.325800E-01,+3.371760E-05
+3.366700E-01,+3.413270E-05
+3.407500E-01,+3.454620E-05
+3.448300E-01,+3.495980E-05
+3.489200E-01,+3.537430E-05
+3.530000E-01,+3.578780E-05
+3.570800E-01,+3.620150E-05
+3.611700E-01,+3.661630E-05
+3.652500E-01,+3.703000E-05
+3.693300E-01,+3.744320E-05
+3.734190E-01,+3.785800E-05
+3.775000E-01,+3.827160E-05
+3.815800E-01,+3.868550E-05
+3.856700E-01,+3.910000E-05
+3.897500E-01,+3.951380E-05
+3.938300E-01,+3.992710E-05
+3.979200E-01,+4.034180E-05
+4.020000E-01,+4.075540E-05
+4.060800E-01,+4.116910E-05
+4.101700E-01,+4.158370E-05
+4.142490E-01,+4.199730E-05
+4.183300E-01,+4.241090E-05
+4.224200E-01,+4.282550E-05
+4.265000E-01,+4.323940E-05
+4.305800E-01,+4.365260E-05
+4.346700E-01,+4.406710E-05
+4.387500E-01,+4.448090E-05
+4.428300E-01,+4.489460E-05
+4.469200E-01,+4.530900E-05
+4.510000E-01,+4.572240E-05
+4.550800E-01,+4.613610E-05
+4.591690E-01,+4.655060E-05
+4.632500E-01,+4.696410E-05
+4.673300E-01,+4.737750E-05
+4.714200E-01,+4.779190E-05
+4.755000E-01,+4.820580E-05
+4.795800E-01,+4.861950E-05
+4.836700E-01,+4.903380E-05
+4.877500E-01,+4.944720E-05
+4.918300E-01,+4.986090E-05
+4.959190E-01,+5.027560E-05
+4.999990E-01,+5.068940E-05
