Voltage (V),Current (A)
+9.948000E-03,+6.735500E-05
+1.402500E-02,+9.495800E-05
+1.817000E-02,+1.230650E-04
+2.225000E-02,+1.507100E-04
+2.633000E-02,+1.783660E-04
+3.042000E-02,+2.060940E-04
+3.450000E-02,+2.337390E-04
+3.858000E-02,+2.613840E-04
+4.267000E-02,+2.890950E-04
+4.675000E-02,+3.167660E-04
+5.083000E-02,+3.444050E-04
+5.492000E-02,+3.721320E-04
+5.900000E-02,+3.997650E-04
+6.308000E-02,+4.274240E-04
+6.717000E-02,+4.551420E-04
+7.125000E-02,+4.828130E-04
+7.533000E-02,+5.104460E-04
+7.942000E-02,+5.381640E-04
+8.350000E-02,+5.658090E-04
+8.758000E-02,+5.934580E-04
+9.167000E-02,+6.211730E-04
+9.575000E-02,+6.488320E-04
+9.983000E-02,+6.764910E-04
+1.039190E-01,+7.042160E-04
+1.080000E-01,+7.318690E-04
+1.120800E-01,+7.595160E-04
+1.161700E-01,+7.872140E-04
+1.202490E-01,+8.148450E-04
+1.243300E-01,+8.425190E-04
+1.284200E-01,+8.702410E-04
+1.325000E-01,+8.978810E-04
+1.365800E-01,+9.255370E-04
+1.406690E-01,+9.532480E-04
+1.447500E-01,+9.809090E-04
+1.488290E-01,+1.008568E-03
+1.529200E-01,+1.036309E-03
+1.570000E-01,+1.063760E-03
+1.610800E-01,+1.091390E-03
+1.651700E-01,+1.119110E-03
+1.692500E-01,+1.146760E-03
+1.733300E-01,+1.174400E-03
+1.774200E-01,+1.202110E-03
+1.815000E-01,+1.229760E-03
+1.855800E-01,+1.257410E-03
+1.896700E-01,+1.285130E-03
+1.937500E-01,+1.312800E-03
+1.978300E-01,+1.340430E-03
+2.019200E-01,+1.368170E-03
+2.060000E-01,+1.395830E-03
+2.100800E-01,+1.423460E-03
+2.141700E-01,+1.451190E-03
+2.182500E-01,+1.478830E-03
+2.223290E-01,+1.506480E-03
+2.264200E-01,+1.534190E-03
+2.305000E-01,+1.561850E-03
+2.345800E-01,+1.589500E-03
+2.386700E-01,+1.617250E-03
+2.427500E-01,+1.644860E-03
+2.468300E-01,+1.672510E-03
+2.509200E-01,+1.700240E-03
+2.550000E-01,+1.727880E-03
+2.590800E-01,+1.755560E-03
+2.631700E-01,+1.783310E-03
+2.672500E-01,+1.810950E-03
+2.713300E-01,+1.838610E-03
+2.754200E-01,+1.866320E-03
+2.795000E-01,+1.893960E-03
+2.835800E-01,+1.921580E-03
+2.876700E-01,+1.949320E-03
+2.917500E-01,+1.976990E-03
+2.958300E-01,+2.004620E-03
+2.999200E-01,+2.032340E-03
+3.040000E-01,+2.060020E-03
+3.080800E-01,+2.087650E-03
+3.121700E-01,+2.115380E-03
+3.162500E-01,+2.143040E-03
+3.203300E-01,+2.170690E-03
+3.244200E-01,+2.198410E-03
+3.285000E-01,+2.226080E-03
+3.325800E-01,+2.253720E-03
+3.366700E-01,+2.281460E-03
+3.407500E-01,+2.309100E-03
+3.448300E-01,+2.336750E-03
+3.489200E-01,+2.364460E-03
+3.530000E-01,+2.392110E-03
+3.570800E-01,+2.419780E-03
+3.611700E-01,+2.447530E-03
+3.652500E-01,+2.475190E-03
+3.693300E-01,+2.502820E-03
+3.734200E-01,+2.530520E-03
+3.774990E-01,+2.558190E-03
+3.815800E-01,+2.585850E-03
+3.856700E-01,+2.613580E-03
+3.897500E-01,+2.641240E-03
+3.938300E-01,+2.668870E-03
+3.979200E-01,+2.696590E-03
+4.020000E-01,+2.724260E-03
+4.060800E-01,+2.751880E-03
+4.101700E-01,+2.779590E-03
+4.142500E-01,+2.807250E-03
+4.183290E-01,+2.834910E-03
+4.224200E-01,+2.862640E-03
+4.265000E-01,+2.890290E-03
+4.305800E-01,+2.917950E-03
+4.346700E-01,+2.945680E-03
+4.387490E-01,+2.973320E-03
+4.428300E-01,+3.000980E-03
+4.469200E-01,+3.028680E-03
+4.510000E-01,+3.056340E-03
+4.550800E-01,+3.083990E-03
+4.591700E-01,+3.111740E-03
+4.632500E-01,+3.139390E-03
+4.673300E-01,+3.167060E-03
+4.714200E-01,+3.194770E-03
+4.755000E-01,+3.222420E-03
+4.795800E-01,+3.250080E-03
+4.836700E-01,+3.277830E-03
+4.877500E-01,+3.305480E-03
+4.918300E-01,+3.333140E-03
+4.959200E-01,+3.360860E-03
+5.000000E-01,+3.388490E-03
