Voltage (V),Current (A)
+1.000000E-01,+1.313100E-08
+1.075000E-01,+1.586300E-08
+1.150000E-01,+1.914300E-08
+1.225000E-01,+2.306800E-08
+1.299990E-01,+2.776500E-08
+1.375000E-01,+3.337800E-08
+1.450000E-01,+4.007400E-08
+1.525000E-01,+4.809600E-08
+1.600000E-01,+5.769600E-08
+1.674990E-01,+6.914900E-08
+1.750000E-01,+8.287100E-08
+1.825000E-01,+9.928000E-08
+1.900000E-01,+1.189520E-07
+1.975000E-01,+1.425110E-07
+2.049990E-01,+1.707450E-07
+2.125000E-01,+2.046360E-07
+2.199990E-01,+2.453230E-07
+2.275000E-01,+2.942130E-07
+2.349990E-01,+3.529860E-07
+2.425000E-01,+4.237590E-07
+2.500000E-01,+5.090130E-07
+2.575000E-01,+6.118190E-07
+2.650000E-01,+7.359800E-07
+2.725000E-01,+8.859470E-07
+2.799990E-01,+1.067530E-06
+2.875000E-01,+1.287150E-06
+2.950000E-01,+1.553300E-06
+3.025000E-01,+1.875790E-06
+3.100000E-01,+2.267050E-06
+3.175000E-01,+2.741040E-06
+3.249990E-01,+3.317690E-06
+3.325000E-01,+4.016780E-06
+3.400000E-01,+4.865760E-06
+3.475000E-01,+5.894770E-06
+3.550000E-01,+7.141280E-06
+3.625000E-01,+8.650280E-06
+3.700000E-01,+1.047320E-05
+3.774990E-01,+1.267360E-05
+3.850000E-01,+1.532440E-05
+3.924990E-01,+1.850630E-05
+4.000000E-01,+2.232150E-05
+4.075000E-01,+2.687950E-05
+4.150000E-01,+3.231480E-05
+4.225000E-01,+3.877170E-05
+4.300000E-01,+4.642620E-05
+4.374990E-01,+5.545790E-05
+4.449990E-01,+6.610020E-05
+4.524990E-01,+7.859530E-05
+4.599980E-01,+9.321410E-05
+4.675000E-01,+1.103020E-04
+4.750000E-01,+1.301880E-04
+4.825000E-01,+1.533040E-04
+4.900000E-01,+1.801160E-04
+4.975000E-01,+2.111910E-04
+5.050000E-01,+2.471420E-04
+5.125000E-01,+2.886710E-04
+5.200000E-01,+3.366770E-04
+5.275000E-01,+3.920980E-04
+5.350000E-01,+4.561180E-04
+5.425000E-01,+5.300070E-04
+5.500000E-01,+6.154120E-04
+5.574990E-01,+7.140650E-04
+5.650000E-01,+8.280830E-04
+5.725000E-01,+9.599600E-04
+5.799990E-01,+1.112600E-03
+5.875000E-01,+1.289420E-03
+5.950000E-01,+1.494180E-03
+6.025000E-01,+1.731800E-03
+6.100000E-01,+2.007480E-03
+6.175000E-01,+2.327810E-03
+6.250000E-01,+2.700290E-03
+6.325000E-01,+3.133760E-03
+6.400000E-01,+3.638560E-03
+6.475000E-01,+4.227450E-03
+6.550000E-01,+4.914090E-03
+6.625000E-01,+5.716520E-03
+6.699990E-01,+6.653940E-03
+6.774980E-01,+7.750600E-03
+6.849960E-01,+9.032590E-03
+6.925000E-01,+1.053530E-02
+7.000000E-01,+1.229140E-02
+7.075000E-01,+1.434700E-02
+7.150000E-01,+1.674810E-02
+7.225000E-01,+1.955520E-02
+7.299990E-01,+2.282190E-02
+7.374990E-01,+2.662120E-02
+7.450000E-01,+3.102650E-02
+7.525000E-01,+3.611420E-02
+7.600000E-01,+4.196500E-02
+7.675000E-01,+4.866320E-02
+7.750000E-01,+5.629060E-02
+7.825000E-01,+6.492870E-02
+7.900000E-01,+7.464150E-02
+7.974990E-01,+8.550220E-02
+8.049990E-01,+9.755370E-02
+8.125000E-01,+1.305440E-01
+8.200000E-01,+1.502730E-01
+8.275000E-01,+1.722850E-01
+8.350000E-01,+1.966950E-01
+8.424990E-01,+2.235970E-01
+8.499990E-01,+2.530830E-01
+8.574990E-01,+2.851720E-01
+8.649990E-01,+3.199090E-01
+8.725000E-01,+3.572920E-01
+8.800000E-01,+3.973580E-01
+8.875000E-01,+4.400190E-01
+8.949970E-01,+4.853240E-01
+8.970250E-01,+5.000010E-01
+8.966100E-01,+5.000010E-01
+8.962480E-01,+5.000000E-01
+8.955780E-01,+5.000000E-01
+8.953060E-01,+5.000000E-01
+8.950520E-01,+5.000000E-01
+8.948160E-01,+5.000010E-01
+8.945930E-01,+5.000000E-01
+8.943780E-01,+5.000000E-01
+8.941700E-01,+4.999990E-01
+8.939770E-01,+5.000000E-01
+8.937920E-01,+5.000010E-01
+8.936080E-01,+5.000000E-01
+8.934310E-01,+5.000000E-01
